,Workload,Algorithm,r,Mean (Std)
244,deepfield.tar,DLiSA-0.3,1,3.308 (0.015)
245,enwik8.tar,FEMOSAA,3,7.229 (0.165)
246,enwik8.tar,Seed-EA,1,7.131 (0.06)
247,enwik8.tar,D-SOGA,2,7.16 (0.144)
248,enwik8.tar,LiDOS,3,7.162 (0.105)
249,enwik8.tar,DLiSA-0.3,2,7.131 (0.062)
250,fannie_mae_500k.tar,FEMOSAA,4,33.687 (0.462)
251,fannie_mae_500k.tar,Seed-EA,3,33.455 (0.232)
252,fannie_mae_500k.tar,D-SOGA,2,33.443 (0.209)
253,fannie_mae_500k.tar,LiDOS,3,33.554 (0.363)
254,fannie_mae_500k.tar,DLiSA-0.3,1,33.412 (0.109)
255,large.tar,FEMOSAA,3,0.978 (0.01)
256,large.tar,Seed-EA,1,0.972 (0.005)
257,large.tar,D-SOGA,2,0.974 (0.006)
258,large.tar,LiDOS,2,0.973 (0.007)
259,large.tar,DLiSA-0.3,2,0.973 (0.007)
260,misc.tar,FEMOSAA,3,0.199 (0.004)
261,misc.tar,Seed-EA,1,0.196 (0.005)
262,misc.tar,D-SOGA,3,0.198 (0.004)
263,misc.tar,LiDOS,2,0.198 (0.005)
264,misc.tar,DLiSA-0.3,2,0.196 (0.005)
265,silesia.tar,FEMOSAA,3,10.947 (0.047)
266,silesia.tar,Seed-EA,1,10.913 (0.021)
267,silesia.tar,D-SOGA,2,10.922 (0.027)
268,silesia.tar,LiDOS,2,10.922 (0.029)
269,silesia.tar,DLiSA-0.3,2,10.919 (0.029)
270,uiq-32.bin,FEMOSAA,4,9.462 (0.507)
271,uiq-32.bin,Seed-EA,1,9.134 (0.368)
272,uiq-32.bin,D-SOGA,3,9.222 (0.421)
273,uiq-32.bin,LiDOS,4,9.317 (0.48)
274,uiq-32.bin,DLiSA-0.3,2,9.152 (0.401)
275,uiq2-16.bin,FEMOSAA,2,5.577 (0.382)
276,uiq2-16.bin,Seed-EA,1,5.313 (0.137)
277,uiq2-16.bin,D-SOGA,2,5.322 (0.145)
278,uiq2-16.bin,LiDOS,2,5.334 (0.16)
279,uiq2-16.bin,DLiSA-0.3,2,5.321 (0.137)
280,uiq2-4.bin,FEMOSAA,3,2.145 (0.049)
281,uiq2-4.bin,Seed-EA,1,2.1 (0.038)
282,uiq2-4.bin,D-SOGA,2,2.113 (0.043)
283,uiq2-4.bin,LiDOS,2,2.113 (0.045)
284,uiq2-4.bin,DLiSA-0.3,2,2.113 (0.043)
285,uiq2-8.bin,FEMOSAA,3,3.593 (0.129)
286,uiq2-8.bin,Seed-EA,3,3.509 (0.104)
287,uiq2-8.bin,D-SOGA,2,3.499 (0.096)
288,uiq2-8.bin,LiDOS,3,3.557 (0.117)
289,uiq2-8.bin,DLiSA-0.3,1,3.495 (0.094)
290,vmlinux-5.10.tar,FEMOSAA,3,2.553 (0.027)
291,vmlinux-5.10.tar,Seed-EA,2,2.532 (0.02)
292,vmlinux-5.10.tar,D-SOGA,3,2.536 (0.022)
293,vmlinux-5.10.tar,LiDOS,3,2.542 (0.023)
294,vmlinux-5.10.tar,DLiSA-0.3,1,2.532 (0.02)
295,Johnny_1280x720_60_short.y4m,FEMOSAA,1,1.035 (0.24)
296,Johnny_1280x720_60_short.y4m,Seed-EA,3,1.646 (2.203)
297,Johnny_1280x720_60_short.y4m,D-SOGA,2,1.171 (0.794)
298,Johnny_1280x720_60_short.y4m,LiDOS,4,2.133 (3.049)
299,Johnny_1280x720_60_short.y4m,DLiSA-0.3,1,0.933 (0.152)
300,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,FEMOSAA,1,4.123 (1.077)
301,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,Seed-EA,3,6.665 (9.287)
302,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,D-SOGA,2,4.925 (4.962)
303,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,LiDOS,4,7.861 (11.095)
304,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.3,1,3.496 (0.501)
305,blue_sky_1080p25_short.y4m,FEMOSAA,2,1.461 (0.378)
306,blue_sky_1080p25_short.y4m,Seed-EA,2,3.006 (4.202)
307,blue_sky_1080p25_short.y4m,D-SOGA,1,1.459 (0.469)
308,blue_sky_1080p25_short.y4m,LiDOS,3,3.347 (4.549)
309,blue_sky_1080p25_short.y4m,DLiSA-0.3,1,1.313 (0.313)
310,pedestrian_area_1080p25_short.y4m,FEMOSAA,1,1.79 (0.514)
311,pedestrian_area_1080p25_short.y4m,Seed-EA,3,3.268 (4.349)
312,pedestrian_area_1080p25_short.y4m,D-SOGA,2,2.083 (1.413)
313,pedestrian_area_1080p25_short.y4m,LiDOS,4,3.84 (5.136)
314,pedestrian_area_1080p25_short.y4m,DLiSA-0.3,1,1.613 (0.373)
315,riverbed_1080p25_short.y4m,FEMOSAA,1,3.515 (0.796)
316,riverbed_1080p25_short.y4m,Seed-EA,3,6.324 (7.974)
317,riverbed_1080p25_short.y4m,D-SOGA,2,4.382 (4.505)
318,riverbed_1080p25_short.y4m,LiDOS,4,7.595 (9.396)
319,riverbed_1080p25_short.y4m,DLiSA-0.3,1,3.185 (0.424)
320,sd_bridge_close_cif_short.y4m,FEMOSAA,2,0.107 (0.016)
321,sd_bridge_close_cif_short.y4m,Seed-EA,4,0.141 (0.142)
322,sd_bridge_close_cif_short.y4m,D-SOGA,3,0.116 (0.058)
323,sd_bridge_close_cif_short.y4m,LiDOS,5,0.193 (0.211)
324,sd_bridge_close_cif_short.y4m,DLiSA-0.3,1,0.1 (0.016)
325,sd_city_4cif_short.y4m,FEMOSAA,1,0.645 (0.172)
326,sd_city_4cif_short.y4m,Seed-EA,2,1.092 (1.555)
327,sd_city_4cif_short.y4m,D-SOGA,2,0.657 (0.157)
328,sd_city_4cif_short.y4m,LiDOS,3,1.406 (1.892)
329,sd_city_4cif_short.y4m,DLiSA-0.3,1,0.589 (0.151)
