Workload,Algorithm,r,Mean (Std)
frisco,DLiSA-0.7,3,3.171 (0.075)
frisco,DLiSA-0.8,3,3.274 (0.17)
frisco,DLiSA-0.9,3,3.293 (0.127)
jelly,DLiSA-0.0,2,1.136 (0.015)
jelly,DLiSA-0.1,2,1.137 (0.016)
jelly,DLiSA-0.2,3,1.138 (0.019)
jelly,DLiSA-0.3,3,1.137 (0.016)
jelly,DLiSA-0.4,1,1.136 (0.012)
jelly,DLiSA-0.5,3,1.137 (0.019)
jelly,DLiSA-0.6,1,1.136 (0.012)
jelly,DLiSA-0.7,3,1.14 (0.021)
jelly,DLiSA-0.8,3,1.158 (0.026)
jelly,DLiSA-0.9,3,1.162 (0.029)
karte,DLiSA-0.0,2,7.077 (0.067)
karte,DLiSA-0.1,1,7.077 (0.07)
karte,DLiSA-0.2,3,7.089 (0.119)
karte,DLiSA-0.3,1,7.076 (0.077)
karte,DLiSA-0.4,3,7.081 (0.096)
karte,DLiSA-0.5,3,7.088 (0.105)
karte,DLiSA-0.6,3,7.091 (0.126)
karte,DLiSA-0.7,3,7.109 (0.147)
karte,DLiSA-0.8,3,7.226 (0.21)
karte,DLiSA-0.9,3,7.222 (0.15)
mandelbrot,DLiSA-0.0,3,1.048 (0.013)
mandelbrot,DLiSA-0.1,3,1.05 (0.012)
mandelbrot,DLiSA-0.2,3,1.05 (0.015)
mandelbrot,DLiSA-0.3,4,1.051 (0.014)
mandelbrot,DLiSA-0.4,3,1.049 (0.011)
mandelbrot,DLiSA-0.5,1,1.047 (0.011)
mandelbrot,DLiSA-0.6,2,1.048 (0.011)
mandelbrot,DLiSA-0.7,4,1.051 (0.016)
mandelbrot,DLiSA-0.8,4,1.063 (0.019)
mandelbrot,DLiSA-0.9,4,1.069 (0.022)
strawberry,DLiSA-0.0,4,1.12 (0.029)
strawberry,DLiSA-0.1,4,1.118 (0.023)
strawberry,DLiSA-0.2,3,1.117 (0.022)
strawberry,DLiSA-0.3,3,1.117 (0.017)
strawberry,DLiSA-0.4,3,1.116 (0.017)
strawberry,DLiSA-0.5,2,1.116 (0.014)
strawberry,DLiSA-0.6,1,1.115 (0.011)
strawberry,DLiSA-0.7,4,1.119 (0.02)
strawberry,DLiSA-0.8,4,1.128 (0.024)
strawberry,DLiSA-0.9,4,1.146 (0.038)
village,DLiSA-0.0,4,1.63 (0.041)
village,DLiSA-0.1,4,1.631 (0.039)
village,DLiSA-0.2,4,1.632 (0.04)
village,DLiSA-0.3,1,1.628 (0.038)
village,DLiSA-0.4,2,1.628 (0.034)
village,DLiSA-0.5,3,1.629 (0.036)
village,DLiSA-0.6,4,1.63 (0.034)
village,DLiSA-0.7,4,1.637 (0.045)
village,DLiSA-0.8,4,1.679 (0.064)
village,DLiSA-0.9,4,1.694 (0.061)
